strategies,memory,threshold,distribution,choice,crosses,std
6,3,6000.0,uniform,choice,False,2483.942979699816
2,6,6000.0,uniform,mse,False,1.5723301886761007
45,6,6000.0,uniform,mse,False,4497.44865542268
59,7,6000.0,uniform,mse,False,3698.083529667766
27,7,6000.0,uniform,mse,False,2763.117940950042
32,7,6000.0,uniform,mse,False,2756.1656275340206
16,5,6000.0,uniform,mse,False,3290.899012792705
58,4,6000.0,uniform,choice,False,3506.865707209217
42,6,6000.0,uniform,mse,False,4453.3094307941365
25,4,6000.0,uniform,choice,False,3286.3202522578354
28,8,6000.0,uniform,mse,False,1756.78850189771
35,3,6000.0,uniform,choice,False,2862.255601514302
21,6,6000.0,uniform,mse,False,3394.817534124625
46,3,6000.0,uniform,choice,False,3175.3398160826823
3,6,6000.0,uniform,mse,False,2.2789471253190583
54,11,6000.0,uniform,mse,False,1671.9878176589682
39,6,6000.0,uniform,mse,False,3739.828830521525
49,6,6000.0,uniform,mse,False,4554.519823691626
57,10,6000.0,uniform,mse,False,1990.0535897306886
55,5,6000.0,uniform,choice,False,3388.031564197713
52,9,6000.0,uniform,mse,False,2916.4526052037945
60,7,6000.0,uniform,mse,False,3812.9618770189663
13,3,6000.0,uniform,choice,False,1751.1301009348222
22,3,6000.0,uniform,choice,False,2531.109588777222
29,4,6000.0,uniform,choice,False,3346.18678833086
46,6,6000.0,uniform,mse,False,4526.671288308883
24,8,6000.0,uniform,mse,False,1672.8732797196562
17,5,6000.0,uniform,mse,False,2759.071897287202
33,7,6000.0,uniform,mse,False,3313.850050681231
57,5,6000.0,uniform,choice,False,3397.7488517546435
4,6,6000.0,uniform,mse,False,20.92738875254149
22,6,6000.0,uniform,mse,False,3260.4743719281096
29,8,6000.0,uniform,mse,False,2761.097007278085
43,6,6000.0,uniform,mse,False,2620.0360486833
7,3,6000.0,uniform,choice,False,1549.2445783671471
50,3,6000.0,uniform,choice,False,3221.380641215813
55,11,6000.0,uniform,mse,False,1257.3212237133357
56,11,6000.0,uniform,mse,False,1594.6607167670495
39,3,6000.0,uniform,choice,False,3055.674383241774
36,7,6000.0,uniform,mse,False,3513.536907448106
50,6,6000.0,uniform,mse,False,4576.598218109167
52,5,6000.0,uniform,choice,False,3351.535841610529
58,8,6000.0,uniform,mse,False,2559.4623692486666
5,6,6000.0,uniform,mse,False,54.247949269995445
43,3,6000.0,uniform,choice,False,3098.7453092501814
10,6,6000.0,uniform,mse,False,998.6214099447299
59,4,6000.0,uniform,choice,False,3502.6521026787686
25,8,6000.0,uniform,mse,False,2354.5380174463103
53,9,6000.0,uniform,mse,False,2183.431495696625
47,6,6000.0,uniform,mse,False,2930.0218593723835
34,7,6000.0,uniform,mse,False,2346.4780182222034
23,6,6000.0,uniform,mse,False,3735.9068069747136
30,8,6000.0,uniform,mse,False,1681.9088707774868
26,4,6000.0,uniform,choice,False,3315.4216639818233
40,7,6000.0,uniform,mse,False,3675.7219026471525
54,12,6000.0,uniform,mse,False,1595.1804568762745
57,11,6000.0,uniform,mse,False,1314.8635100268014
54,6,6000.0,uniform,choice,False,3656.4602960240113
32,4,6000.0,uniform,choice,False,3358.8977704598274
47,3,6000.0,uniform,choice,False,3145.354578167619
37,7,6000.0,uniform,mse,False,3462.227954598022
14,3,6000.0,uniform,choice,False,2610.530806100552
6,6,6000.0,uniform,mse,False,133.2110265706259
59,8,6000.0,uniform,mse,False,3679.126146736477
51,6,6000.0,uniform,mse,False,3019.2706023144065
11,6,6000.0,uniform,mse,False,1732.064310122462
23,3,6000.0,uniform,choice,False,2522.100280004742
56,6,6000.0,uniform,choice,False,3664.293024363636
